time, rPosX, rPosY, rPosZ, rRotX, rRotY, rRotZ, rRotW
11.596389770507812,-0.135340691,0.131581321,0.504299104,2.35E-05,6.45E-05,0.984807432,0.17365025
11.668659925460815,-0.135340691,0.131581321,0.504299104,2.36E-05,6.45E-05,0.984807372,0.173650533
11.746559858322144,-0.135340691,0.131581336,0.504299104,2.34E-05,6.47E-05,0.984807253,0.173650935
11.815609693527222,-0.135340691,0.131581336,0.504299104,2.36E-05,6.47E-05,0.984807253,0.173650995
11.875949621200562,-0.135340691,0.131581336,0.504299104,2.35E-05,6.48E-05,0.984807312,0.173650697
11.962479829788208,-0.135340691,0.131581321,0.504299104,2.35E-05,6.46E-05,0.984807253,0.173651099
12.041439771652222,-0.135340691,0.131581321,0.504299104,2.35E-05,6.45E-05,0.984807253,0.173651055
12.108239650726318,-0.135340676,0.131581321,0.504299104,2.38E-05,6.42E-05,0.984807193,0.173651338
12.169009685516357,-0.135340676,0.131581321,0.504299104,2.39E-05,6.42E-05,0.984807253,0.173651204
12.239219903945923,-0.135340661,0.131581321,0.504299104,2.38E-05,6.42E-05,0.984807193,0.173651353
12.30450987815857,-0.135340691,0.131581321,0.504299104,2.37E-05,6.41E-05,0.984807134,0.173651591
12.368289709091187,-0.135340691,0.131581336,0.504299104,2.36E-05,6.41E-05,0.984807193,0.173651397
12.441239595413208,-0.135340691,0.131581336,0.504299104,2.36E-05,6.40E-05,0.984807134,0.173651621
12.50836992263794,-0.135340691,0.131581321,0.504299104,2.38E-05,6.38E-05,0.984807193,0.173651472
12.573099613189697,-0.135340676,0.131581321,0.504299104,2.39E-05,6.38E-05,0.984807074,0.173651889
12.64783000946045,-0.135340691,0.131581321,0.504299104,2.38E-05,6.38E-05,0.984807074,0.173652083
12.721149921417236,-0.135340691,0.131581321,0.504299104,2.36E-05,6.37E-05,0.984807074,0.173652172
12.791029691696167,-0.135340691,0.131581321,0.504299104,2.36E-05,6.38E-05,0.984807134,0.173651874
12.859829664230347,-0.135340691,0.131581351,0.504299104,2.35E-05,6.39E-05,0.984807074,0.173652127
12.932959794998169,-0.135340691,0.131581351,0.504299104,2.35E-05,6.41E-05,0.984807134,0.173651651
